Artist,Title,Lyrics
Swedish House Mafia,Lifetime (with Ty Dolla $ign & 070 Shake),"[Chorus: 070 Shake & 
Ty Dolla $ign
]
Under the white light
Once in a lifetime
Watching the skyline
Don't change your mind while
You're under the white light
Once in a lifetime
Watching the skyline
Don't change your mind while
You're under the white light (
Dolla $ign
)
[Verse 1: Ty Dolla $ign]
Once in a lifetime (Time)
Baby, it's the right time (Right time)
I'll put on the red light
Told you it was on on site
You had on that sundress (Yeah)
Never fail to impress (Press)
We had thе best sex (Sex)
Wе made love all night (All night)
[Chorus: 070 Shake & 
Ty Dolla $ign
]
Under the white light
Once in a lifetime (
Once in a lifetime
)
Watching the skyline
Don't change your mind while (
Don't change your mind
)
You're under the white light
Once in a lifetime
Watching the skyline
Don't change your mind while
You're under the white light
[Interlude: 070 Shake]
[Non-Lyrical Vocals]
[Verse 2: Ty Dolla $ign]
Come with me
Take my hand
Follow me
Follow me
To a place
A place where we
Can be free
Follow me
[Bridge: 070 Shake]
Once in a lifetime
Watching the skyline
Don't change your mind while
Under the white light
Once in a lifetime
Watching the skyline
Don't change your mind while
Under the white light
Once in a lifetime
Watching the skyline
Don't change your mind while
You're under the white light
[Chorus: 070 Shake & 
Ty Dolla $ign
]
Once in a lifetime (
Once in a lifetime
)
Watching the skyline
Don't change your mind while (
Don't change your mind
)
You're under the white light
Once in a lifetime
Watching the skyline
Don't change your mind while
[Outro: Ty Dolla $ign]
Once in a lifetime
Girl, gon' live it up
Don't you let nobody tell you different
Once in a lifetime
You'll have it your way
Don't you let nobody tell you nothing
Ooh, yeah"
ANOTR,Relax My Eyes,"[Chorus]
Relax my eyes
I see flashing lights
And we're not alone
Are you alright
On the other side
I can feel you close
I feel alive
Hear the drums get high
And the bass down low
Open your mind
We could dance all night
I don't want to go
[Verse]
Lets take our minds
Off society's lies
Back in control
I feel the rise
In the brother's eyes
But we're not alone
We'll see the signs
When the kingdom dies
And we'll all be free
[Chorus]
Relax my eyes
I see flashing lights
And we're not alone
Are you alright
On the other side
I can feel you close
I feel alive
Hear the drums get high
And the bass down low
Open your mind
We could dance all night
I don't want to go
[Chorus]
Relax my eyes
I see flashing lights
And we're not alone
Are you alright
On the other side
I can feel you close
I feel alive
Hear the drums get high
And the bass down low
Open your mind
We could dance all night
I don't want to go"
Selena Gomez,Fetish (feat. Gucci Mane),"[Verse 1: Selena Gomez]
Take it or leave it
Baby, take it or leave it
But I know you won't leave it
'Cause I know that you need it (Uh)
Look in the mirror
When I look in the mirror
Baby, I see it clearer
Why you wanna be nearer (Uh)
[Pre-Chorus: Selena Gomez]
I'm not surprised
I sympathize (Ah)
I can't deny
Your appetite (Ah)
[Chorus: Selena Gomez]
You got a fetish for my love
I push you out and you come right back
Don't see a point in blamin' you
If I were you, I'd do me too
You got a fetish for my love
I push you out and you come right back
Don't see a point in blamin' you
If I were you, I'd do me too
You got a fetish for my love
[Verse 2: Selena Gomez]
Reachin' your limit
Say you're reachin' your limit
Goin' over your limit
But I know you can't quit it (Uh)
Somethin' about me
Got you hooked on my body
Take you over and under and twisted up like origami (Uh)
[Pre-Chorus: Selena Gomez]
I'm not surprised
I sympathize (Ah)
I can't deny
Your appetite (Ah)
[Chorus: Selena Gomez & 
Gucci Mane
]
You got a fetish for my love
I push you out and you come right back
Don't see a point in blaming you
If I were you, I'd do me too
You got a fetish for my love
I push you out and you come right back
Don't see a point in blaming you
If I were you, I'd do me too (
It's Gucci
)
You got a fetish for my love
[Verse 3: Gucci Mane]
The way you walk, the way you talk
I blame you 'cause it's all your fault
You're playin' hard, don't turn me off
You actin' hard, but I know you soft
You my fetish, I'm so with it
All these rumors bein' spreaded
Might as well go 'head and whip it
'Cause they sayin' we already did it
Call on Gucci if you ever need me
I'll be South Beach in the drop top gleamin'
Water diamonds, Aquafina
Just need you in a blue bikini
[Chorus: Selena Gomez]
You got a fetish for my love
I push you out and you come right back
Don't see a point in blamin' you
If I were you, I'd do me too
You got a fetish for my love
I push you out and you come right back
Don't see a point in blamin' you
If I were you, I'd do me too
You got a fetish for my love"
Labrinth,Mount Everest,"[Verse 1]
Mount Everest ain't got shit on me
Mount Everest ain't got shit on me
'Cause I'm on top of the world
I'm on top of the world, yeah
Burj Dubai ain't got shit on me
You could touch the sky but you ain't got shit on me
'Cause I'm on top of the world
I'm on top of the world, yeah
[Chorus]
Woop
Woop
Woop
Woop, woop, woop
Woop
Woop
Woop
So high, so high
Huh
Woop
Woop, ah
Woop
Woop, woop, woop
Woop
Woop
Woop
So high, so high
[Verse 2]
(Tell 'em)
I burn down my house and build it up again
(Tell 'em)
I burn it down twice just for the fun of it
(Tell 'em)
So much money I don't know what to do with it
(Tell 'em)
I don't pick up my phone, ain't no one worth the time
(Tell 'em)
I got me one gun and an alibi
(Tell 'em)
So much love that the whole thing feel like a lie
[Bridge]
I don't need nobody (Ha)
I don't need nobody (Ah)
I don't need nobody
I don't need nobody (Ah)
I don't need nobody (No cap)
I don't need nobody
(To save me)
(So high, so high)
[Outro]
Mount Everest ain't got shit on me"
Tory Lanez,The Color Violet,"[Verse 1]
I took my drugs and took my lovin' when I left out the spot
I left the party with a Barbie, marking X on the dot
She calls my phone up, but I told her, ""I'm a loner"" (Uh)
But she likes my watch and my droptop and my persona (Uh)
We hit the highway, one-five-five with my whole foot on the dash
She's in my ear, she's got no fear, she could care less if we crash
[Pre-Chorus]
But on my radar, I've got some nerve to play hard
I waited for my chance, but playboys, we don't dance, dance, dance
[Chorus]
I lost my heart (Uh)
Speedin' car, goin' ninety in the rain
Shе took my heart, filled it with nothin' but pain
This beat in my dancе is not for romance
I wanna stay, but playboys, we don't dance, dance, dance (I)
[Post-Chorus]
So I won't dance again (I), oh, baby
No, I won't dance again (That's why), oh, yeah (Uh)
No, I won't dance again (I)
No, I won't dance again
Pretty baby, ooh
[Instrumental Break]
[Verse 2]
Uh
Face in the daylight, wastin' time on the stars in the sky
She's got my pager, blankets of love fall on my eyes
Then I'm reminded, love don't come 'til you find it
I just hope that it's workin', I'm yearnin', I'm searchin', uh
The afterparty was on Wilson and 73rd
You got the notion that somebody else was with me first
[Pre-Chorus]
But on my radar, you had some nerve to play hard
You took away my chance, but playboys, we don't dance, dance, dance
[Chorus]
I lost my heart (Uh)
Speedin' car goin' ninety in the rain
She took my heart, filled it with nothin' but pain
This beat in my dance is not for romance
I wanna stay, but playboys, we don't dance, dance, dance (I)
[Post-Chorus]
So I won't dance again (I), oh, baby
No, I won't dance again (That's why), oh, yeah (Uh)
No, I won't dance again (I)
No, I won't dance again
Pretty baby, ooh"
Her's,What Once Was,Lyrics Not Found
BETWEEN FRIENDS,orange juice,"[Verse 1]
Got too close, I'm on the edge
Citrus kisses down your neck
I won't fall, never stall
Bring it back, growing tall
Laid out on my balcony
Watch the sky move from the breeze
We won't stop, never not
Falling down, take the drop
[Pre-Chorus]
When I picture you my mind goes, it happens all the time though
Making life divine on a field trip to the sky
Picture you my mind goes, it happens all the time though
Making life divine on a field trip to the sky
[Bridge]
And I know you're tired ease your mind (Mind)
Time flies, ending so soon
[Chorus]
Waking up, orange juice
Let me sip on you then somebody new
Mix it up like orange juice
In a swimming pool made for you
Waking up, orange juice
Let me sip on you then somebody new
Mix it up like orange juice
In a swimming pool made for you
[Verse 2]
Fought the sun for time in bed
Like you best with words unsaid
Can we just watch the time?
Slowly go, you know I'm
Hung on this reality
Sweeten up your honey bee
Take your mind, let it go
Bring it back, show me more
[Pre-Chorus]
When I picture you my mind goes, it happens all the time though
Making life divine on a field trip to the sky
Picture you my mind goes, it happens all the time though
Making life divine on a field trip to the sky
[Chorus]
Waking up, orange juice
Let me sip on you then somebody new
Mix it up like orange juice
In a swimming pool made for you
Waking up, orange juice
Let me sip on you then somebody new
Mix it up like orange juice
In a swimming pool made for you"
Pink Skies,Spectra,Lyrics Not Found
Omar Apollo,Frío,"[Letra de ""Frío""]
[Coro]
Y no puedo amarte
De vuelta
Me besas
Con fuerza
No me sueltas
Acábame
La tristeza
Y no puedo amarte
De vuelta
Me besas
Con fuerza
No me sueltas
Acábame
La tristeza
[Verso 1]
No puedo
Con este dolor, dolor
Y ya acabe contigo, contigo
Tu negaste tanto amor, amor
Me dejaste frío, frío
[Pre-Coro]
Y cada vez que te veo en la calle
Que me va todo bien y tú sabes
Te la pasas llamando a mis padres
¿Que no ves que no somos iguales?
Y cada vez que te veo en la calle
Que me va todo bien y tú sabes
Te la pasas llamando a mis padres
¿Que no ves que no somos iguales¿
[Coro]
Y no puedo amarte
De vuelta
Me besas
Con fuerza
Ay, no me sueltas
Acábame
La tristeza
Y no puedo amarte
De vuelta
Me besas
Con fuerza
Ay, no me sueltas
Acábame
La tristeza
[Post-Coro]
Y cada vez que te veo en la calle
(De vuelta; Me besas)
Te la pasas llamando a mis padres
(Acábame; la tristeza)
Y cada vez que te veo en la calle
(De vuelta; Me besas)"
Santea,Hurts Me,Lyrics Not Found
The Weeknd,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"I've seen the devil
Down Sunset
In every place
In every face
Yeah (uh, uh)
Yeah (uh, uh)
Tell me, do you see her? (Yeah, uh) she's livin' her life (uh)
Even if she acts like she don't want the limelight (uh, yeah, uh, uh)
But if you knew her (yeah-yeah, uh), she lives a lie
She calls the paparazzi, then she acts surprised, oh
Oh, I know what she needs (oh-oh, uh)
She just want the fame, I know what she fiends (oh-oh, uh, yeah)
Give her a little taste, runnin' back to me (oh-oh, uh)
Put it in her veins, pray her soul to keep, ooh
Ooh, every night (every night, uh), she prays to the sky
Flashin' lights is all she ever wants to see
Beggin' on her knees to be popular
That's her dream, to be popular (ha)
Kill anyone to be popular (hm)
Sell her soul to be popular (popular)
Just to be popular (uh-huh)
Everybody scream 'cause she popular (ha)
She mainstream 'cause she popular
Never be free 'cause she popular
Money on top of me, money on top of her (uh-huh)
Money on top of me, money on top of her (uh-huh)
Yeah, shawty fuck with me 'cause she know I'm popular (uh-huh)
Yeah, shawty fuck with me 'cause she know I'm popular
I know that you see me (huh), time's gone by (uh)
Spent my whole life runnin' from your flashin' lights
Try to own it (uh), but I'm alright (uh, yeah)
You can't take my soul without a fuckin' fight (uh), oh
Oh, I know what she needs (oh-oh, uh, yeah)
She just want the fame, I know what she fiends (oh-oh, uh, yeah)
Give her a little taste, runnin' back to me (oh-oh, uh, yeah)
Put it in her veins, pray her soul to keep, ooh (uh)
Ooh, every night (every night), she prays to the sky (ha)
Flashin' lights is all she ever wants to see
Beggin' on her knees to be popular (huh)
That's her dream, to be popular (hey)
Kill anyone to be popular (hm)
Sell her soul to be popular (popular)
Just to be popular (uh-huh)
Everybody scream 'cause she popular (ha)
She mainstream 'cause she popular
Never be free 'cause she popular
Money on top of me, money on top of her (uh-huh)
Money on top of me, money on top of her (uh-huh)
Yeah, shawty fuck with me 'cause she know I'm popular (uh)
Yeah, shawty fuck with me 'cause she know I'm popular (uh)
Money on top of me, money on top of her (uh-huh)
Money on top of me, money on top of her (uh-huh)
Yeah, shawty fuck with me 'cause she know I'm popular (uh-huh)
Yeah, shawty fuck with me 'cause she know I'm popular
I'm gettin' money and I'm keepin' it
I'm gettin' cash and I'm keepin' it
Money on top of me, money on top of her
Yeah, shawty fuck with me 'cause she know I'm popular
Pop-popular, born to be popular
She in debt, 20 mill', but she run it up
She can never be broke 'cause she popular
Turn the webcam on for the followers (ha-ha-ha-ha)
Beggin' on her knees to be popular
That's her dream, to be popular (ha)
Kill anyone to be popular (hm)
Sell her soul to be popular (popular)
Just to be popular (uh-huh)
Everybody scream 'cause she popular (ha)
She mainstream 'cause she popular
Never be free 'cause she popular"
Common Saints,Idol Eyes,"[Verse 1]
Sound it keeps on playing like it’s on and on
And music is religion and the gods the song
People keep on moving and they sing along
This feeling is a heaven where we all belong
Forget discrimination ‘cause we’re made of the same
Everybody’s loving ain’t no time to make names
Oh, we got the feeling and forever remains
Flying altogether on an orbital plane
[Chorus]
We ‘wanna make love, we ‘wanna get high
We ‘wanna make love, we ‘wanna get high
We ‘wanna make love, we ‘wanna get high
We ‘wanna make love
[Verse 2]
Sound it keeps on playing like it’s on and on
And music is religion and the gods the song
People keep on moving and they sing along
This feeling is a heaven where we all belong
Forget discrimination ‘cause we’re made of the same
Everybody’s loving ain’t no time to make names
Oh we got the feeling and forever remains
Flying altogether on an orbital plane
[Chorus]
We ‘wanna make love, we ‘wanna get high
We ‘wanna make love, we ‘wanna get high
We ‘wanna make love, we ‘wanna get high
We ‘wanna make love
[Chorus]
We ‘wanna make love, we ‘wanna get high
We ‘wanna make love, we ‘wanna get high
We ‘wanna make love, we ‘wanna get high
We ‘wanna make love"
Metro Boomin,Overdue (with Travis Scott),"[Travis Scott:]
Overtime and overdue (Due)
Ain't no sleep, that is old news (Old news)
Been outside, that's with the crew (Yeah)
Made my night up on the move (On the move)
In the morning, get the news (Check the news)
She come home I heard the zoom (Skr skr)
I step outside I need my piece (Peace)
Take one down to hit my peak (Yeah, yeah yeah)
I feel I overuse myself, I overuse myself
I feel, I mean I overdid myself, I overdid myself
I feel, I mean I overuse my nights, I overdid my nights
I overdid my nights
Yeah
Hit the lights and hit a right (Right)
Took everything, ain't nothing left (Ain't left)
Count your blessings, count your steps (Straight up)
At your throat like we that strep
It's way too cold under this flesh (Yeah)
All we, we ball but we don't mesh (Ball)
All we, we drink, leave us a mess (Drinking)
Down on my drugs, it is old news (Yeah)
Oh, oh oh
Mhm mhm, hmm
Hmm
[Travis Scott & 21 Savage:]
I'm with the hero (21), but we knew this (Woah)
Them the ones, you see me when they all leave
The Glock on tip though (God), lit when we Chevy (21)
They already know there's not too many
About to click though (Yeah), this shit been busy
Chasing after paper, come and get me (Me)
Like I'm sick though, sippin' plenty (Sip)
We been outside, going in (21)"
